start_node,end_node,500_cars,1000_cars
170424926,1199905289,14141,15618
170424926,2114250,14991,15176
170424926,2114253,14188,15151
170424926,80041651,14285,14790
170425961,1199905289,15291,15228
170425961,2114250,13845,14929
170425961,2114253,13956,15089
170425961,80041651,13844,15018
28961405,1199905289,13985,15401
28961405,2114250,14054,14966
28961405,2114253,13699,15548
28961405,80041651,15065,15185
329026137,1199905289,13845,14545
329026137,2114250,14508,14822
329026137,2114253,13818,14962
329026137,80041651,14781,15374
